respondent_id,wave,concept_id,concept_name,question_code,question_text,verbatim_text,verbatim_text_clean,sentiment_polarity,sentiment_label,toxicity_flag,length_chars,length_tokens,topic_label,embeddings_ref,source_file
jan24_csoap_glory_girls_night_out_stardust_stick_r0000,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,the glowy finish,the glowy finish,0.0,neutral,False,16,3,general,ea7cf04d95d50f11,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0001,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,I like the scent and the instructions given,i like the scent and the instructions given,0.0,neutral,False,43,8,scent,0d4c40d861837515,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0002,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,easy to apply,easy to apply,0.43333333333333335,positive,False,13,3,general,baeb8fb613cbefa1,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0003,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,I think it sounded really fun,i think it sounded really fun,0.3,positive,False,29,6,general,78e6971c406b5903,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0004,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,Blends into skin,blends into skin,0.0,neutral,False,16,3,skincare,946f2da204999eb2,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0005,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,"This is a product that sounds rather innovative, distinctive and exciting to use.","this is a product that sounds rather innovative, distinctive and exciting to use.",0.4,positive,False,81,13,general,5b67343a34b568c5,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0006,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,It use cucumber and aloe,it use cucumber and aloe,0.0,neutral,False,24,5,general,8d32542ff2428cd6,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0007,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,Good,good,0.7,positive,False,4,1,general,755f85c2723bb393,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0008,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,Its original,its original,0.375,positive,False,12,2,general,f61fc9366062cbdb,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0009,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,would be fun to apply and wear,would be fun to apply and wear,0.3,positive,False,30,7,general,8eb17ecb4174dade,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0010,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,Fun,fun,0.3,positive,False,3,1,general,77004ea213d5fc71,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0011,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,I like that it’s a stick.  No mess.  Tidy.  I like it has vitamin e in it,i like that it’s a stick. no mess. tidy. i like it has vitamin e in it,0.34375,positive,False,70,17,general,45f6ab1a58d57027,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0012,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,"I like that you can apply all over body, looks like easy to use, biodegradable gliter, looks nice","i like that you can apply all over body, looks like easy to use, biodegradable gliter, looks nice",0.5166666666666666,positive,False,97,18,general,73ab7fed654cd905,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0013,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,The picture story,the picture story,0.0,neutral,False,17,3,general,543a25ffa3df1272,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0014,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,Idea,idea,0.0,neutral,False,4,1,general,1cba77c39b4d0a81,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0015,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,You can use on any part of your body so is fully customisable,you can use on any part of your body so is fully customisable,0.0,neutral,False,61,13,general,7f3aa48ce5d06c6d,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0016,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,I like the fact its biodegradable and that there are benefits to the skin while wearong the product.,i like the fact its biodegradable and that there are benefits to the skin while wearong the product.,0.0,neutral,False,100,18,skincare,58b91e363436032c,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0017,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,Relevant,relevant,0.4,positive,False,8,1,general,f552707df89102a4,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0018,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,I liked all of this product,i liked all of this product,0.6,positive,False,27,6,general,5c1e3bf961441c9a,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0019,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,"I like that it is in a stick because it would be easy to apply and leave no mess. I like that you can use it on the go too. So if you need tp top up on a night out, you can.","i like that it is in a stick because it would be easy to apply and leave no mess. i like that you can use it on the go too. so if you need tp top up on a night out, you can.",0.34027777777777785,positive,False,173,43,general,f19bcc3372c3f0bd,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0020,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,It's nourishment,it's nourishment,0.0,neutral,False,16,2,general,8be49d514b7bbc7d,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0021,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,hydrates me and soap and glory magicingredients,hydrates me and soap and glory magicingredients,0.0,neutral,False,47,7,skincare,41ddb9fbe944e5a7,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0022,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,Sweet cherry smell the stick i can reach every part of my body without touching product the price seems about right  glowing skin results,sweet cherry smell the stick i can reach every part of my body without touching product the price seems about right glowing skin results,0.37857142857142856,positive,False,136,24,price,5e55f749a31efa12,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0023,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,I live glitters,i live glitters,0.13636363636363635,positive,False,15,3,general,7aa3530a7f16072b,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0024,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,It’s different,it’s different,0.0,neutral,False,14,2,general,67dd7d38771d1a83,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0025,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,Gliter!!!! :),gliter!!!! :),0.5,positive,False,13,2,general,b729a77ef8d3da79,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0026,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,This products looks fun,this products looks fun,0.3,positive,False,23,4,general,149ed636f39ecc7f,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0027,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,Its a fun product and i love the idea of the added glitter it will leave on the skin as well as making you smell nice!!,its a fun product and i love the idea of the added glitter it will leave on the skin as well as making you smell nice!!,0.5791666666666667,positive,False,119,26,scent,74cc22bbe8bfe8e7,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0028,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,Very nice product,very nice product,0.78,positive,False,17,3,general,2866855ae466e357,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0029,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,The size,the size,0.0,neutral,False,8,2,general,ffe9c5d2d0ca43ba,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0030,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,Love the sound of wild cherry scent,love the sound of wild cherry scent,0.3333333333333333,positive,False,35,7,scent,d5bd4c2e0ee0fc54,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0031,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,Seems fun and easy to apply,seems fun and easy to apply,0.3666666666666667,positive,False,27,6,general,89b61c79cf448208,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
